step,base-maxreward,naive-maxreward,envinformed-maxreward,diverse1-maxreward,diverse2-maxreward,base-logq,naive-logq,envinformed-logq,diverse1-logq,diverse2-logq,base-numskills,naive-numskills,envinformed-numskills,diverse1-numskills,diverse2-numskills
98,104.1040802,92.1250102,146.7192129,127.0391519,180.308703,-1.792972567,-0.9065191333,-0.8174849,-0.8194322,-0.3240285667,15,4,3.333333333,4,2.666666667
99,119.4246165,92.1250102,146.7192129,127.0391519,180.308703,-1.789790867,-0.9017229,-0.8122715667,-0.8146636667,-0.3226708667,15,4,3.333333333,4,2.666666667
100,119.4246165,92.1250102,146.7192129,127.0391519,238.3250197,-1.786970733,-0.8970440667,-0.8070705667,-0.8100921,-0.3216705333,15,4,3.666666667,4,3
101,119.4246165,94.76787553,146.7192129,127.0391519,238.3250197,-1.7840363,-0.8922731667,-0.8019699667,-0.8055945,-0.3206391667,15,4,3.666666667,4,3
102,119.4246165,94.76787553,158.0136515,127.0391519,238.3250197,-1.780861567,-0.8873288,-0.7968205667,-0.8010977667,-0.3196927667,15,4,3.666666667,4,3
103,119.4246165,94.76787553,158.0136515,127.0391519,238.3250197,-1.777857533,-0.8822999667,-0.7919127,-0.7965059,-0.3186935,15,4,3.666666667,4,3
104,119.4246165,146.89904,158.0136515,127.0391519,238.3250197,-1.775054567,-0.8773849667,-0.7869575667,-0.7920596,-0.3176197667,15,4,3.666666667,4,3
105,119.4246165,146.89904,158.0136515,127.0391519,238.3250197,-1.7721987,-0.8723528667,-0.7821205667,-0.7876221333,-0.3165476333,15,4,3.666666667,4,3
106,120.6531169,146.89904,158.0136515,127.0391519,238.3250197,-1.769194067,-0.8673968333,-0.7772988667,-0.7832098667,-0.315451,15,4,3.666666667,4,3
107,124.999044,146.89904,158.0136515,127.0391519,238.3250197,-1.7655756,-0.8623732,-0.7724213333,-0.7787951333,-0.3143410667,15,4,3.666666667,4,3
108,127.5442913,146.89904,158.0136515,127.0391519,238.3250197,-1.7618634,-0.8574258667,-0.7676639333,-0.7743829333,-0.3131513333,15,4,3.666666667,4,3
109,127.5442913,146.89904,159.4944459,127.0391519,238.3250197,-1.758013333,-0.8523734,-0.7629589,-0.7700104667,-0.3119894,15,4,3.666666667,4,3
110,127.5442913,165.6497217,159.4944459,127.0391519,238.3250197,-1.754100633,-0.8475336333,-0.7582849667,-0.7657670667,-0.3107969667,15,4,3.666666667,4,3
111,144.276085,165.6497217,163.8314744,127.0391519,238.3250197,-1.7504603,-0.8427757,-0.7535551333,-0.7615469333,-0.3096432,15,4,3.666666667,4,3
112,144.276085,165.6497217,163.8314744,127.0391519,238.3250197,-1.7469986,-0.8379114667,-0.748835,-0.7573929667,-0.3085304333,15,4,3.666666667,4,3
113,144.276085,165.6497217,163.8314744,127.0391519,238.3250197,-1.743356,-0.8329750667,-0.7441895667,-0.7532137,-0.3074681,15,4,3.666666667,4,3
114,144.276085,165.6497217,187.8049673,127.0391519,238.3250197,-1.739493733,-0.8279313,-0.7394272667,-0.7490433,-0.3063601,15,4,3.666666667,4,3
115,144.276085,165.6497217,187.8049673,140.4600804,238.3250197,-1.735468667,-0.8230335667,-0.7346443667,-0.7450397,-0.3053227333,15,4,3.666666667,4,3
116,144.276085,165.6497217,187.8049673,140.4600804,238.3250197,-1.731801833,-0.8181354667,-0.7298726333,-0.7411705,-0.3042728667,15,4,3.666666667,4,3
117,144.276085,165.6497217,187.8049673,142.3405278,238.3250197,-1.728124267,-0.8134084667,-0.7250535667,-0.7372624,-0.3031856667,15,4,3.666666667,4,3
118,144.276085,165.6497217,187.8049673,142.3405278,238.3250197,-1.724160633,-0.8085522667,-0.7202598667,-0.7333080333,-0.3020525333,15,4,3.666666667,4,3
119,144.276085,165.6497217,188.4141083,186.4094643,238.3250197,-1.7199995,-0.8040086,-0.7155639333,-0.7292471333,-0.3009542667,15,5,3.666666667,4,3
120,144.276085,165.6497217,188.4141083,186.4094643,238.3250197,-1.715787833,-0.7994047667,-0.7107758667,-0.7251443667,-0.2998835667,15,5,3.666666667,4.333333333,3
121,144.276085,165.6497217,188.4141083,212.6114247,238.3250197,-1.711574433,-0.7946988,-0.7060485333,-0.7210174,-0.298826,15,5,3.666666667,4.333333333,3
122,171.4494427,165.6497217,188.4141083,212.6114247,238.3250197,-1.707600567,-0.7899289667,-0.7013016667,-0.7167872,-0.2976942667,15,5,3.666666667,4.333333333,3
123,171.4494427,165.6497217,188.4141083,212.6114247,238.3250197,-1.703542867,-0.7852634667,-0.6966326667,-0.7126618333,-0.2965566667,15,5,3.666666667,4.333333333,3.333333333
124,171.4494427,165.6497217,188.4141083,212.6114247,238.3250197,-1.699499833,-0.7806259333,-0.6919902667,-0.7084956,-0.2954053,15,5,3.666666667,4.666666667,3.333333333
125,171.4494427,165.6497217,188.4141083,372.6781973,238.3250197,-1.6954765,-0.7760958,-0.6872897667,-0.7043851333,-0.2943716667,15,5,3.666666667,4.666666667,3.333333333
126,171.4494427,165.6497217,225.9653777,372.6781973,238.3250197,-1.691629333,-0.7715756667,-0.6825924667,-0.7002647667,-0.2933133667,15,5,3.666666667,5,3.333333333
127,171.4494427,165.6497217,333.177709,372.6781973,238.3250197,-1.6878459,-0.7672204333,-0.6778211333,-0.6960294333,-0.2923218333,15,5,3.666666667,5,3.333333333
128,171.4494427,165.6497217,333.177709,372.6781973,238.3250197,-1.683996133,-0.7628628667,-0.6730273667,-0.6919525,-0.291435,15,5,3.666666667,5,3.333333333
129,171.4494427,165.6497217,333.177709,372.6781973,306.0347113,-1.679989333,-0.7584182,-0.6682001667,-0.6879360333,-0.2905069,15,5,3.666666667,5,3.333333333
130,171.4494427,172.3991723,333.177709,372.6781973,306.0347113,-1.675953667,-0.7539635,-0.663431,-0.6839190333,-0.2895203667,15,5,3.666666667,5,3.333333333
131,171.4494427,172.3991723,333.177709,375.166316,306.0347113,-1.6718206,-0.7495036667,-0.6585801333,-0.6799164,-0.2884473667,15,5,3.666666667,5,3.333333333
132,171.4494427,172.3991723,333.177709,375.166316,329.4011967,-1.667555067,-0.7451563,-0.6537793667,-0.6759199,-0.2874052667,15,5,3.666666667,5,3.333333333
133,183.5355937,172.3991723,333.177709,375.166316,340.8503367,-1.663235533,-0.7408196333,-0.6490264333,-0.6720578667,-0.2862874,15,5,3.666666667,5,3.333333333
134,183.5355937,172.3991723,333.177709,375.166316,340.8503367,-1.658898133,-0.7365334667,-0.6442638667,-0.6681962,-0.2852349667,15,5,3.666666667,5,3.333333333
135,183.5355937,185.2537003,333.177709,379.268148,340.8503367,-1.654543867,-0.7321741667,-0.6395452,-0.6643415333,-0.2841832333,15,5,3.666666667,5,3.333333333
136,183.5355937,185.2537003,333.177709,379.268148,356.3511657,-1.6502027,-0.7278685667,-0.6348854667,-0.6605033667,-0.2830998333,15,5,3.666666667,5,3.333333333
137,183.5355937,239.1839067,333.177709,379.268148,356.3511657,-1.645817633,-0.7237956667,-0.6301587333,-0.6569481,-0.282053,15,5,3.666666667,5,3.333333333
138,183.5355937,253.6318767,333.177709,379.268148,356.3511657,-1.641612067,-0.7197356,-0.6255164333,-0.6534467667,-0.2809710333,15,5,3.666666667,5,3.333333333
139,183.5355937,291.998657,333.177709,379.268148,362.4777017,-1.637475367,-0.7155633333,-0.6208477333,-0.6500132333,-0.2798360333,15,5,3.666666667,5,3.333333333
140,183.5355937,291.998657,333.177709,379.268148,362.4777017,-1.633323633,-0.7113123333,-0.6161258333,-0.6464201333,-0.2786857667,15,5,3.666666667,5,3.333333333
141,183.5355937,291.998657,333.177709,379.268148,362.4777017,-1.6289626,-0.7073027333,-0.6114659667,-0.6430778333,-0.2775179667,15,5,3.666666667,5,3.333333333
142,183.5355937,291.998657,333.177709,379.268148,362.4777017,-1.624582133,-0.7032801667,-0.6068844667,-0.6396399667,-0.276387,15,5,3.666666667,5,3.333333333
143,183.5355937,291.998657,333.177709,379.268148,362.4777017,-1.620140133,-0.6992601333,-0.6023794,-0.6361641667,-0.2752636667,15,5,3.666666667,5,3.333333333
144,185.822113,291.998657,333.177709,379.268148,362.4777017,-1.615548733,-0.6953041333,-0.5978756333,-0.6327888333,-0.2742637333,15,5,3.666666667,5,3.333333333
