,run,tag,step,value
54633,Hopper/Baseline-15skills-seed0,Cumulative runtime,142,82.96727753
54634,Hopper/Baseline-15skills-seed0,Cumulative runtime,143,86.08407593
54635,Hopper/Baseline-15skills-seed0,Cumulative runtime,144,89.29763031
54636,Hopper/Baseline-15skills-seed0,Cumulative runtime,145,90.67751312
54637,Hopper/Baseline-15skills-seed0,Cumulative runtime,146,94.24714661
54638,Hopper/Baseline-15skills-seed0,Cumulative runtime,147,95.12282562
54639,Hopper/Baseline-15skills-seed0,Cumulative runtime,148,96.94805145
54640,Hopper/Baseline-15skills-seed0,Cumulative runtime,149,98.98467255
54641,Hopper/Baseline-15skills-seed0,Cumulative runtime,150,103.7179718
54642,Hopper/Baseline-15skills-seed0,Cumulative runtime,151,104.2944336
54643,Hopper/Baseline-15skills-seed0,Cumulative runtime,152,109.8435287
54644,Hopper/Baseline-15skills-seed0,Cumulative runtime,153,110.5224762
54645,Hopper/Baseline-15skills-seed0,Cumulative runtime,154,114.8843536
54646,Hopper/Baseline-15skills-seed0,Cumulative runtime,155,115.7494431
54647,Hopper/Baseline-15skills-seed0,Cumulative runtime,156,118.2720642
54648,Hopper/Baseline-15skills-seed0,Cumulative runtime,157,120.4360275
54649,Hopper/Baseline-15skills-seed0,Cumulative runtime,158,125.6575546
54650,Hopper/Baseline-15skills-seed0,Cumulative runtime,159,128.2884521
54651,Hopper/Baseline-15skills-seed0,Cumulative runtime,160,128.8762817
54652,Hopper/Baseline-15skills-seed0,Cumulative runtime,161,130.9577942
54653,Hopper/Baseline-15skills-seed0,Cumulative runtime,162,133.0891876
54654,Hopper/Baseline-15skills-seed0,Cumulative runtime,163,135.654892
54655,Hopper/Baseline-15skills-seed0,Cumulative runtime,164,137.9521637
54656,Hopper/Baseline-15skills-seed0,Cumulative runtime,165,141.0236816
54657,Hopper/Baseline-15skills-seed0,Cumulative runtime,166,143.2229462
54658,Hopper/Baseline-15skills-seed0,Cumulative runtime,167,144.0885162
54659,Hopper/Baseline-15skills-seed0,Cumulative runtime,168,147.3899384
54660,Hopper/Baseline-15skills-seed0,Cumulative runtime,169,149.7616272
54661,Hopper/Baseline-15skills-seed0,Cumulative runtime,170,150.1731873
54662,Hopper/Baseline-15skills-seed0,Cumulative runtime,171,150.9471436
54663,Hopper/Baseline-15skills-seed0,Cumulative runtime,172,151.8128815
54664,Hopper/Baseline-15skills-seed0,Cumulative runtime,173,152.2401123
54665,Hopper/Baseline-15skills-seed0,Cumulative runtime,174,153.1042938
54666,Hopper/Baseline-15skills-seed0,Cumulative runtime,175,153.8997192
54667,Hopper/Baseline-15skills-seed0,Cumulative runtime,176,154.6109467
54668,Hopper/Baseline-15skills-seed0,Cumulative runtime,177,160.9673767
54669,Hopper/Baseline-15skills-seed0,Cumulative runtime,178,169.318634
54670,Hopper/Baseline-15skills-seed0,Cumulative runtime,179,172.364563
54671,Hopper/Baseline-15skills-seed0,Cumulative runtime,180,173.3082733
54672,Hopper/Baseline-15skills-seed0,Cumulative runtime,181,173.7926636
54673,Hopper/Baseline-15skills-seed0,Cumulative runtime,182,175.9303284
54674,Hopper/Baseline-15skills-seed0,Cumulative runtime,183,182.1981506
54675,Hopper/Baseline-15skills-seed0,Cumulative runtime,184,182.9755707
54676,Hopper/Baseline-15skills-seed0,Cumulative runtime,185,185.1125488
54677,Hopper/Baseline-15skills-seed0,Cumulative runtime,186,187.5105896
54678,Hopper/Baseline-15skills-seed0,Cumulative runtime,187,190.41745
54679,Hopper/Baseline-15skills-seed0,Cumulative runtime,188,196.3230591
54680,Hopper/Baseline-15skills-seed0,Cumulative runtime,189,200.5633087
54681,Hopper/Baseline-15skills-seed0,Cumulative runtime,190,201.881424
54682,Hopper/Baseline-15skills-seed0,Cumulative runtime,191,206.1449585
54683,Hopper/Baseline-15skills-seed0,Cumulative runtime,192,212.2741699
54684,Hopper/Baseline-15skills-seed0,Cumulative runtime,193,212.7618866
54685,Hopper/Baseline-15skills-seed0,Cumulative runtime,194,214.3708038
54686,Hopper/Baseline-15skills-seed0,Cumulative runtime,195,215.2894745
54687,Hopper/Baseline-15skills-seed0,Cumulative runtime,196,217.3582764
54688,Hopper/Baseline-15skills-seed0,Cumulative runtime,197,223.1196747
54689,Hopper/Baseline-15skills-seed0,Cumulative runtime,198,226.7708893
54690,Hopper/Baseline-15skills-seed0,Cumulative runtime,199,236.6819458
54691,Hopper/Baseline-15skills-seed0,Cumulative runtime,200,239.8525696
54692,Hopper/Baseline-15skills-seed0,Cumulative runtime,201,241.101944
54693,Hopper/Baseline-15skills-seed0,Cumulative runtime,202,243.9358826
54694,Hopper/Baseline-15skills-seed0,Cumulative runtime,203,247.5740967
54695,Hopper/Baseline-15skills-seed0,Cumulative runtime,204,248.2377319
54696,Hopper/Baseline-15skills-seed0,Cumulative runtime,205,252.4627991
54697,Hopper/Baseline-15skills-seed0,Cumulative runtime,206,256.7132263
54698,Hopper/Baseline-15skills-seed0,Cumulative runtime,207,259.1431885
54699,Hopper/Baseline-15skills-seed0,Cumulative runtime,208,261.7735596
54700,Hopper/Baseline-15skills-seed0,Cumulative runtime,209,264.8753052
54701,Hopper/Baseline-15skills-seed0,Cumulative runtime,210,289.8125305
54702,Hopper/Baseline-15skills-seed0,Cumulative runtime,211,292.351593
54703,Hopper/Baseline-15skills-seed0,Cumulative runtime,212,295.1014404
54704,Hopper/Baseline-15skills-seed0,Cumulative runtime,213,297.901062
54705,Hopper/Baseline-15skills-seed0,Cumulative runtime,214,300.6101379
54706,Hopper/Baseline-15skills-seed0,Cumulative runtime,215,306.4481812
54707,Hopper/Baseline-15skills-seed0,Cumulative runtime,216,309.4036255
54708,Hopper/Baseline-15skills-seed0,Cumulative runtime,217,310.5185242
54709,Hopper/Baseline-15skills-seed0,Cumulative runtime,218,315.8128967
54710,Hopper/Baseline-15skills-seed0,Cumulative runtime,219,319.3387146
54711,Hopper/Baseline-15skills-seed0,Cumulative runtime,220,322.1168213
54712,Hopper/Baseline-15skills-seed0,Cumulative runtime,221,325.1174622
54713,Hopper/Baseline-15skills-seed0,Cumulative runtime,222,329.5992126
54714,Hopper/Baseline-15skills-seed0,Cumulative runtime,223,330.4231873
54715,Hopper/Baseline-15skills-seed0,Cumulative runtime,224,333.8272705
54716,Hopper/Baseline-15skills-seed0,Cumulative runtime,225,339.1866455
54717,Hopper/Baseline-15skills-seed0,Cumulative runtime,226,341.2228699
54718,Hopper/Baseline-15skills-seed0,Cumulative runtime,227,344.5194397
54719,Hopper/Baseline-15skills-seed0,Cumulative runtime,228,345.4453125
54720,Hopper/Baseline-15skills-seed0,Cumulative runtime,229,347.6787415
54721,Hopper/Baseline-15skills-seed0,Cumulative runtime,230,350.1602478
54722,Hopper/Baseline-15skills-seed0,Cumulative runtime,231,353.9633484
54723,Hopper/Baseline-15skills-seed0,Cumulative runtime,232,354.9077759
54724,Hopper/Baseline-15skills-seed0,Cumulative runtime,233,355.7568665
54725,Hopper/Baseline-15skills-seed0,Cumulative runtime,234,361.4363708
54726,Hopper/Baseline-15skills-seed0,Cumulative runtime,235,364.1781006
54727,Hopper/Baseline-15skills-seed0,Cumulative runtime,236,366.9336548
