Wall time,Step,k=2
1650340394,79,-0.440989703
1650340395,80,-0.441541612
1650340397,81,-0.441904336
1650340398,82,-0.442148983
1650340398,83,-0.442382514
1650340399,84,-0.442566484
1650340399,85,-0.443190426
1650340399,86,-0.443581134
1650340400,87,-0.443920195
1650340400,88,-0.444764644
1650340401,89,-0.44563511
1650340402,90,-0.446553349
1650340402,91,-0.447265923
1650340404,92,-0.448527992
1650340405,93,-0.449387819
1650340406,94,-0.450731933
1650340407,95,-0.451747149
1650340407,96,-0.452825367
1650340409,97,-0.453745306
1650340410,98,-0.454425275
1650340412,99,-0.454800367
1650340412,100,-0.454893321
1650340413,101,-0.45521161
1650340413,102,-0.455324292
1650340414,103,-0.455629408
1650340416,104,-0.455718011
1650340416,105,-0.455651879
1650340416,106,-0.455600321
1650340418,107,-0.455685645
1650340419,108,-0.455910563
1650340420,109,-0.456121027
1650340422,110,-0.456427127
1650340422,111,-0.456933796
1650340425,112,-0.457110375
1650340426,113,-0.457182288
1650340426,114,-0.457459986
1650340429,115,-0.457492709
1650340429,116,-0.457355171
1650340430,117,-0.457347155
1650340430,118,-0.457261533
1650340432,119,-0.457187355
1650340432,120,-0.457174778
1650340434,121,-0.457600713
1650340435,122,-0.45763135
1650340435,123,-0.458023697
1650340435,124,-0.458206475
1650340437,125,-0.458575279
1650340438,126,-0.459067434
1650340438,127,-0.459267229
1650340439,128,-0.459517837
1650340440,129,-0.460161716
1650340443,130,-0.460635692
1650340446,131,-0.461102337
1650340448,132,-0.461627245
1650340450,133,-0.461977541
1650340452,134,-0.462765932
1650340455,135,-0.463602632
1650340456,136,-0.464225203
1650340457,137,-0.464708865
1650340457,138,-0.46505037
1650340458,139,-0.465442091
1650340458,140,-0.465784222
1650340460,141,-0.46621266
1650340460,142,-0.466543704
1650340463,143,-0.466838211
1650340463,144,-0.467541635
1650340464,145,-0.467856199
1650340469,146,-0.468134105
1650340471,147,-0.468332857
1650340473,148,-0.468634903
1650340475,149,-0.469007879
1650340478,150,-0.46985364
1650340480,151,-0.470891923
1650340482,152,-0.471632183
1650340483,153,-0.472238004
1650340485,154,-0.472783774
1650340489,155,-0.473831803
1650340491,156,-0.474456191
1650340497,157,-0.474702239
1650340499,158,-0.474981725
1650340503,159,-0.475383043
1650340504,160,-0.475754768
1650340505,161,-0.476150244
1650340507,162,-0.476588726
1650340508,163,-0.477172732
1650340510,164,-0.477550805
1650340512,165,-0.478318125
1650340514,166,-0.479181111
1650340516,167,-0.479783624
1650340520,168,-0.480651319
1650340524,169,-0.481517762
1650340526,170,-0.482313931
1650340531,171,-0.482841015
1650340534,172,-0.483315587
1650340539,173,-0.483853072
1650340544,174,-0.484514087
1650340548,175,-0.485166639
1650340551,176,-0.486069083
1650340553,177,-0.487048954
1650340557,178,-0.487618715
1650340561,179,-0.488103628
1650340562,180,-0.488675952
1650340564,181,-0.489503205
1650340567,182,-0.489965856
1650340572,183,-0.49104315
1650340575,184,-0.491920412
1650340576,185,-0.492688268
1650340580,186,-0.493391484
1650340582,187,-0.494000643
1650340585,188,-0.49469161
1650340589,189,-0.495853126
1650340593,190,-0.497096777
