Wall time,Step,k=2; decay
1650341586,102,-0.41626671
1650341587,103,-0.415892959
1650341588,104,-0.415680498
1650341590,105,-0.415077478
1650341590,106,-0.41448772
1650341591,107,-0.41400969
1650341592,108,-0.413553804
1650341592,109,-0.412954956
1650341593,110,-0.412174731
1650341594,111,-0.411489964
1650341595,112,-0.410945535
1650341597,113,-0.410162926
1650341597,114,-0.409338176
1650341597,115,-0.408453137
1650341598,116,-0.40770635
1650341598,117,-0.406856298
1650341598,118,-0.406025648
1650341599,119,-0.405194819
1650341603,120,-0.404725283
1650341605,121,-0.404183805
1650341607,122,-0.403587192
1650341609,123,-0.403666884
1650341609,124,-0.403735816
1650341610,125,-0.403496236
1650341612,126,-0.40320459
1650341615,127,-0.403047055
1650341615,128,-0.402675509
1650341616,129,-0.402615875
1650341619,130,-0.402426749
1650341620,131,-0.402146697
1650341621,132,-0.401844501
1650341622,133,-0.401802242
1650341627,134,-0.40158239
1650341627,135,-0.401679069
1650341629,136,-0.401702851
1650341631,137,-0.40159297
1650341633,138,-0.401360661
1650341636,139,-0.401008427
1650341636,140,-0.40056321
1650341637,141,-0.400156558
1650341640,142,-0.399852216
1650341643,143,-0.399984121
1650341644,144,-0.400456667
1650341646,145,-0.400640935
1650341648,146,-0.400801808
1650341649,147,-0.4009642
1650341651,148,-0.400963604
1650341652,149,-0.400651157
1650341655,150,-0.400611103
1650341657,151,-0.400433689
1650341665,152,-0.399988532
1650341666,153,-0.399431884
1650341667,154,-0.398742616
1650341668,155,-0.398277998
1650341671,156,-0.39775458
1650341672,157,-0.397165239
1650341676,158,-0.396508634
1650341678,159,-0.395993739
1650341680,160,-0.395302743
1650341682,161,-0.394625962
1650341690,162,-0.393807977
1650341691,163,-0.393066883
1650341702,164,-0.392237782
1650341703,165,-0.391342491
1650341717,166,-0.390239388
1650341720,167,-0.389212132
1650341724,168,-0.388179183
1650341732,169,-0.387038976
1650341735,170,-0.386026561
1650341745,171,-0.384707272
1650341771,172,-0.383170009
1650341785,173,-0.381454319
1650341797,174,-0.379601151
1650341800,175,-0.377790362
