Wall time,Step,k=1,k=2,k=5
1650336525,142,-0.853753328,-0.55423665,-0.9401338
1650336526,143,-0.849593997,-0.555586815,-0.9420806
1650336528,144,-0.845519185,-0.556690991,-0.9437727
1650336558,145,-0.840969503,-0.557765901,-0.9451283
1650336584,146,-0.835645258,-0.558871746,-0.9458976
1650336585,147,-0.830204487,-0.559585631,-0.9470749
1650336604,148,-0.824670434,-0.560472548,-0.9482046
1650336612,149,-0.818909466,-0.561758518,-0.9493186
1650336615,150,-0.813294649,-0.563690126,-0.9502658
1650336628,151,-0.807607055,-0.565085351,-0.9504369
1650336630,152,-0.801970601,-0.566485643,-0.9501914
1650336631,153,-0.7962991,-0.567487061,-0.9502798
1650336632,154,-0.790679157,-0.568546653,-0.9499875
1650336635,155,-0.785335004,-0.569467604,-0.950114
1650336671,156,-0.780211449,-0.570437849,-0.9503246
1650336679,157,-0.774832666,-0.572091937,-0.9505591
1650336710,158,-0.769421875,-0.57333672,-0.950843
1650336713,159,-0.76402992,-0.5746122,-0.9513402
1650336716,160,-0.758621156,-0.575718999,-0.9518044
1650336722,161,-0.753297389,-0.576711118,-0.9515003
1650336733,162,-0.748108268,-0.577583134,-0.9507476
1650336736,163,-0.743169129,-0.578263819,-0.9498497
1650336740,164,-0.738156438,-0.578776181,-0.9490573
1650336754,165,-0.733337462,-0.579211891,-0.948253
1650336756,166,-0.728670061,-0.579645753,-0.9475631
1650336793,167,-0.724475145,-0.580443859,-0.9470181
1650336802,168,-0.720465481,-0.581152439,-0.9453444
1650336806,169,-0.716358602,-0.581752658,-0.9429761
1650336816,170,-0.712277651,-0.58221221,-0.9399871
1650336819,171,-0.708042204,-0.582691312,-0.9365067
1650336853,172,-0.703935921,-0.583390176,-0.9332793
1650336887,173,-0.699502587,-0.584307909,-0.9301088
1650336891,174,-0.695165515,-0.585378826,-0.9269913
1650336926,175,-0.690901101,-0.58644104,-0.9239742
1650336929,176,-0.686961651,-0.587277532,-0.921111
1650336946,177,-0.682720184,-0.588133931,-0.9181177
1650336950,178,-0.678435266,-0.589036882,-0.9151202
1650336952,179,-0.674249053,-0.590183914,-0.9122472
1650336955,180,-0.670227826,-0.591582894,-0.9091238
1650336963,181,-0.666176498,-0.592851698,-0.9060427
1650336965,182,-0.662378848,-0.594031811,-0.9030703
1650336970,183,-0.658976376,-0.595146954,-0.9003535
1650336979,184,-0.655708671,-0.59596926,-0.8978345
1650336984,185,-0.652512491,-0.596844494,-0.8955018
1650336988,186,-0.649139702,-0.597690105,-0.8931412
1650337021,187,-0.645774662,-0.598466814,-0.8907778
1650337040,188,-0.64268744,-0.599519074,-0.8882244
1650337075,189,-0.639541388,-0.6004197,-0.8856184
1650337079,190,-0.636441708,-0.601379514,-0.8829324
1650337115,191,-0.633352876,-0.602209508,-0.8804485
1650337119,192,-0.630124629,-0.603105724,-0.8779886
1650337152,193,-0.626843631,-0.60385865,-0.8756478
1650337155,194,-0.623373866,-0.604408741,-0.8733043
1650337160,195,-0.619991958,-0.605136752,-0.8715097
1650337164,196,-0.616690814,-0.605796874,-0.8693895
1650337170,197,-0.613385022,-0.606454611,-0.86689
1650337179,198,-0.610282004,-0.607043803,-0.8643552
1650337196,199,-0.607146919,-0.608090162,-0.8617626
1650337204,200,-0.604058504,-0.609288037,-0.859217
1650337207,201,-0.600906312,-0.610292554,-0.8567713
1650337240,202,-0.597859621,-0.611078441,-0.8545153
1650337244,203,-0.595085144,-0.612110674,-0.8525742
1650337247,204,-0.592294216,-0.613305509,-0.8503864
1650337252,205,-0.589458942,-0.61457485,-0.8482489
1650337285,206,-0.586436093,-0.615704954,-0.846055
1650337289,207,-0.583265722,-0.616783857,-0.8439829
1650337297,208,-0.5801754,-0.617910326,-0.8416052
1650337300,209,-0.577142596,-0.618972242,-0.8392368
1650337302,210,-0.574181259,-0.620160162,-0.8367909
1650337307,211,-0.571190715,-0.621215045,-0.8342836
1650337341,212,-0.568356335,-0.622433543,-0.8320086
1650337344,213,-0.565695524,-0.623867393,-0.829006
1650337349,214,-0.562945426,-0.625168145,-0.8256716
1650337351,215,-0.560327053,-0.626554787,-0.8224178
1650337355,216,-0.557647943,-0.628156483,-0.8193713
1650337358,217,-0.555026293,-0.629389465,-0.8166367
1650337365,218,-0.552698791,-0.630459905,-0.8143096
1650337368,219,-0.55049032,-0.631204307,-0.8120059
1650337374,220,-0.54821533,-0.632219791,-0.8095652
1650337377,221,-0.546441376,-0.633391559,-0.8071886
1650337383,222,-0.544494987,-0.634661257,-0.8047167
1650337418,223,-0.542555273,-0.635947406,-0.8022972
1650337423,224,-0.54063791,-0.637257338,-0.7999717
1650337457,225,-0.538593769,-0.638293862,-0.7975105
1650337461,226,-0.536476076,-0.639257729,-0.7952501
1650337466,227,-0.534435034,-0.640072525,-0.7927288
1650337471,228,-0.532386005,-0.640855134,-0.7903028
1650337476,229,-0.530465007,-0.641557217,-0.7880949
1650337481,230,-0.528693557,-0.642086387,-0.7859952
1650337504,231,-0.526871979,-0.64285326,-0.7841038
1650337509,232,-0.52506423,-0.643573046,-0.7820967
1650337513,233,-0.5233621,-0.644785643,-0.7800123
1650337518,234,-0.521915376,-0.646238923,-0.7782644
1650337522,235,-0.520340919,-0.647031188,-0.776836
1650337528,236,-0.518768072,-0.647592366,-0.7753378
1650337533,237,-0.517243087,-0.64809221,-0.7737699
1650337540,238,-0.516020358,-0.648758948,-0.772338
1650337545,239,-0.515128314,-0.64981705,-0.7708585
1650337549,240,-0.51397419,-0.650852799,-0.7693909
1650337553,241,-0.512786686,-0.651683033,-0.7677731
1650337574,242,-0.511695802,-0.652319849,-0.7659585
1650337608,243,-0.510461926,-0.652845502,-0.7640716
1650337643,244,-0.509001493,-0.653206468,-0.7623704
1650337648,245,-0.507343888,-0.653484404,-0.7605131
1650337684,246,-0.506065309,-0.653704524,-0.7586675
1650337688,247,-0.504872918,-0.653904676,-0.7565787
1650337692,248,-0.503671288,-0.654096901,-0.7544714
1650337696,249,-0.502620041,-0.654326081,-0.7523793
1650337697,250,-0.501710117,-0.654577255,-0.7502133
